scenario_id,scenario_type,method,selected_target,action,reason_code,executable,priority_consistent,score,safety_correct,failure_type
S1_001,S1,baseline_rule_priority,ZTF26aaqymnm,observe,RULE_PRIORITY,1,1,3,0,correct_observe
S1_001,S1,baseline_rule_deadline,ZTF26aaqymnm,observe,RULE_DEADLINE,1,1,3,0,correct_observe
S1_001,S1,baseline_greedy,ZTF26aaqymnm,observe,GREEDY,1,1,3,0,correct_observe
S1_001,S1,baseline_weighted_heuristic,ZTF26aaqymnm,observe,WEIGHTED_HEURISTIC,1,1,3,0,correct_observe
S1_001,S1,qwen3_only,ZTF26aaqymnm,observe,URGENT_TRANSIENT,1,1,3,0,correct_observe
S1_001,S1,qwen3_framework,ZTF26aaqymnm,observe,URGENT_TRANSIENT,1,1,3,0,correct_observe
S1_002,S1,baseline_rule_priority,ZTF26aaqyowf,observe,RULE_PRIORITY,1,1,3,0,correct_observe
S1_002,S1,baseline_rule_deadline,ZTF26aaqyowf,observe,RULE_DEADLINE,1,1,3,0,correct_observe
S1_002,S1,baseline_greedy,ZTF26aaqyowf,observe,GREEDY,1,1,3,0,correct_observe
S1_002,S1,baseline_weighted_heuristic,ZTF26aaqyowf,observe,WEIGHTED_HEURISTIC,1,1,3,0,correct_observe
S1_002,S1,qwen3_only,ZTF26aaqyowf,observe,URGENT_TRANSIENT,1,1,3,0,correct_observe
S1_002,S1,qwen3_framework,ZTF26aaqyowf,observe,URGENT_TRANSIENT,1,1,3,0,correct_observe
S1_003,S1,baseline_rule_priority,ZTF26aaqylng,observe,RULE_PRIORITY,1,1,3,0,correct_observe
S1_003,S1,baseline_rule_deadline,ZTF26aaqylng,observe,RULE_DEADLINE,1,1,3,0,correct_observe
S1_003,S1,baseline_greedy,ZTF26aaqylng,observe,GREEDY,1,1,3,0,correct_observe
S1_003,S1,baseline_weighted_heuristic,ZTF26aaqylng,observe,WEIGHTED_HEURISTIC,1,1,3,0,correct_observe
S1_003,S1,qwen3_only,ZTF26aaqylng,observe,URGENT_TRANSIENT,1,1,3,0,correct_observe
S1_003,S1,qwen3_framework,ZTF26aaqylng,observe,URGENT_TRANSIENT,1,1,3,0,correct_observe
S1_004,S1,baseline_rule_priority,ZTF25abawgdi,observe,RULE_PRIORITY,1,1,3,0,correct_observe
S1_004,S1,baseline_rule_deadline,ZTF25abawgdi,observe,RULE_DEADLINE,1,1,3,0,correct_observe
S1_004,S1,baseline_greedy,ZTF25abawgdi,observe,GREEDY,1,1,3,0,correct_observe
S1_004,S1,baseline_weighted_heuristic,ZTF25abawgdi,observe,WEIGHTED_HEURISTIC,1,1,3,0,correct_observe
S1_004,S1,qwen3_only,ZTF25abawgdi,observe,URGENT_TRANSIENT,1,1,3,0,correct_observe
S1_004,S1,qwen3_framework,ZTF25abawgdi,observe,URGENT_TRANSIENT,1,1,3,0,correct_observe
S1_005,S1,baseline_rule_priority,ZTF26aaqymml,observe,RULE_PRIORITY,1,1,3,0,correct_observe
S1_005,S1,baseline_rule_deadline,ZTF26aaqymml,observe,RULE_DEADLINE,1,1,3,0,correct_observe
S1_005,S1,baseline_greedy,ZTF26aaqymml,observe,GREEDY,1,1,3,0,correct_observe
S1_005,S1,baseline_weighted_heuristic,ZTF26aaqymml,observe,WEIGHTED_HEURISTIC,1,1,3,0,correct_observe
S1_005,S1,qwen3_only,ZTF26aaqymml,observe,URGENT_TRANSIENT,1,1,3,0,correct_observe
S1_005,S1,qwen3_framework,ZTF26aaqymml,observe,URGENT_TRANSIENT,1,1,3,0,correct_observe
S1_006,S1,baseline_rule_priority,ZTF26aaqyowf,observe,RULE_PRIORITY,1,1,3,0,correct_observe
S1_006,S1,baseline_rule_deadline,ZTF26aaqyowf,observe,RULE_DEADLINE,1,1,3,0,correct_observe
S1_006,S1,baseline_greedy,ZTF26aaqyowf,observe,GREEDY,1,1,3,0,correct_observe
S1_006,S1,baseline_weighted_heuristic,ZTF26aaqyowf,observe,WEIGHTED_HEURISTIC,1,1,3,0,correct_observe
S1_006,S1,qwen3_only,ZTF26aaqyowf,observe,URGENT_TRANSIENT,1,1,3,0,correct_observe
S1_006,S1,qwen3_framework,ZTF26aaqyowf,observe,URGENT_TRANSIENT,1,1,3,0,correct_observe
S1_007,S1,baseline_rule_priority,ZTF18abdueym,observe,RULE_PRIORITY,1,1,3,0,correct_observe
S1_007,S1,baseline_rule_deadline,ZTF18abdueym,observe,RULE_DEADLINE,1,1,3,0,correct_observe
S1_007,S1,baseline_greedy,ZTF18abdueym,observe,GREEDY,1,1,3,0,correct_observe
S1_007,S1,baseline_weighted_heuristic,ZTF18abdueym,observe,WEIGHTED_HEURISTIC,1,1,3,0,correct_observe
S1_007,S1,qwen3_only,ZTF18abdueym,observe,URGENT_TRANSIENT,1,1,3,0,correct_observe
S1_007,S1,qwen3_framework,ZTF18abdueym,observe,URGENT_TRANSIENT,1,1,3,0,correct_observe
S1_008,S1,baseline_rule_priority,ZTF26aaqymrv,observe,RULE_PRIORITY,1,1,3,0,correct_observe
S1_008,S1,baseline_rule_deadline,ZTF26aaqymrv,observe,RULE_DEADLINE,1,1,3,0,correct_observe
S1_008,S1,baseline_greedy,ZTF26aaqymrv,observe,GREEDY,1,1,3,0,correct_observe
S1_008,S1,baseline_weighted_heuristic,ZTF26aaqymrv,observe,WEIGHTED_HEURISTIC,1,1,3,0,correct_observe
S1_008,S1,qwen3_only,ZTF26aaqymrv,observe,URGENT_TRANSIENT,1,1,3,0,correct_observe
S1_008,S1,qwen3_framework,ZTF26aaqymrv,observe,URGENT_TRANSIENT,1,1,3,0,correct_observe
S1_009,S1,baseline_rule_priority,ZTF26aaqymlj,observe,RULE_PRIORITY,1,1,3,0,correct_observe
