method,failure_type,count,rate
baseline_greedy,correct_observe,34,0.5666666666666667
baseline_greedy,priority_violation,6,0.1
baseline_greedy,unsafe_execution,10,0.16666666666666666
baseline_greedy,valid_wait,10,0.16666666666666666
baseline_rule_deadline,correct_observe,30,0.5
baseline_rule_deadline,priority_violation,10,0.16666666666666666
baseline_rule_deadline,unsafe_execution,10,0.16666666666666666
baseline_rule_deadline,valid_wait,10,0.16666666666666666
baseline_rule_priority,correct_observe,40,0.6666666666666666
baseline_rule_priority,unsafe_execution,10,0.16666666666666666
baseline_rule_priority,valid_wait,10,0.16666666666666666
baseline_weighted_heuristic,correct_observe,40,0.6666666666666666
baseline_weighted_heuristic,unsafe_execution,10,0.16666666666666666
baseline_weighted_heuristic,valid_wait,10,0.16666666666666666
qwen3_framework,correct_observe,26,0.43333333333333335
qwen3_framework,priority_violation,14,0.23333333333333334
qwen3_framework,unsafe_execution,3,0.05
qwen3_framework,valid_wait,17,0.2833333333333333
qwen3_only,correct_observe,24,0.4
qwen3_only,priority_violation,16,0.26666666666666666
qwen3_only,unsafe_execution,4,0.06666666666666667
qwen3_only,valid_wait,16,0.26666666666666666
