method,scenario_type,n,EDR,ARD,WDS,UER,invalid_reference_rate,infeasible_target_rate,priority_violation_rate
baseline_greedy,S1,10,1.0,1.0,3.0,0.0,0.0,0.0,0.0
baseline_greedy,S2,10,1.0,0.0,0.0,1.0,0.0,0.0,0.0
baseline_greedy,S3,10,1.0,0.7,2.1,0.0,0.0,0.0,0.3
baseline_greedy,S4,10,1.0,0.8,1.6,0.0,0.0,0.0,0.2
baseline_greedy,S5,10,1.0,0.9,2.7,0.0,0.0,0.0,0.1
baseline_greedy,S6,10,1.0,1.0,3.0,0.0,0.0,0.0,0.0
baseline_rule_deadline,S1,10,1.0,1.0,3.0,0.0,0.0,0.0,0.0
baseline_rule_deadline,S2,10,1.0,0.0,0.0,1.0,0.0,0.0,0.0
baseline_rule_deadline,S3,10,1.0,1.0,3.0,0.0,0.0,0.0,0.0
baseline_rule_deadline,S4,10,1.0,0.0,0.0,0.0,0.0,0.0,1.0
baseline_rule_deadline,S5,10,1.0,1.0,3.0,0.0,0.0,0.0,0.0
baseline_rule_deadline,S6,10,1.0,1.0,3.0,0.0,0.0,0.0,0.0
baseline_rule_priority,S1,10,1.0,1.0,3.0,0.0,0.0,0.0,0.0
baseline_rule_priority,S2,10,1.0,0.0,0.0,1.0,0.0,0.0,0.0
baseline_rule_priority,S3,10,1.0,1.0,3.0,0.0,0.0,0.0,0.0
baseline_rule_priority,S4,10,1.0,1.0,2.0,0.0,0.0,0.0,0.0
baseline_rule_priority,S5,10,1.0,1.0,3.0,0.0,0.0,0.0,0.0
baseline_rule_priority,S6,10,1.0,1.0,3.0,0.0,0.0,0.0,0.0
baseline_weighted_heuristic,S1,10,1.0,1.0,3.0,0.0,0.0,0.0,0.0
baseline_weighted_heuristic,S2,10,1.0,0.0,0.0,1.0,0.0,0.0,0.0
baseline_weighted_heuristic,S3,10,1.0,1.0,3.0,0.0,0.0,0.0,0.0
baseline_weighted_heuristic,S4,10,1.0,1.0,2.0,0.0,0.0,0.0,0.0
baseline_weighted_heuristic,S5,10,1.0,1.0,3.0,0.0,0.0,0.0,0.0
baseline_weighted_heuristic,S6,10,1.0,1.0,3.0,0.0,0.0,0.0,0.0
qwen3_framework,S1,10,1.0,1.0,3.0,0.0,0.0,0.0,0.0
qwen3_framework,S2,10,1.0,0.7,2.1,0.3,0.0,0.0,0.0
qwen3_framework,S3,10,1.0,0.1,0.3,0.0,0.0,0.0,0.9
qwen3_framework,S4,10,0.8,0.8,1.6,0.0,0.0,0.0,0.2
qwen3_framework,S5,10,1.0,0.7,2.1,0.0,0.0,0.0,0.3
qwen3_framework,S6,10,1.0,1.0,3.0,0.0,0.0,0.0,0.0
qwen3_only,S1,10,1.0,1.0,3.0,0.0,0.0,0.0,0.0
qwen3_only,S2,10,1.0,0.6,1.8,0.4,0.0,0.0,0.0
qwen3_only,S3,10,1.0,0.1,0.3,0.0,0.0,0.0,0.9
qwen3_only,S4,10,0.6,0.6,1.2,0.0,0.0,0.0,0.4
qwen3_only,S5,10,1.0,0.7,2.1,0.0,0.0,0.0,0.3
qwen3_only,S6,10,1.0,1.0,3.0,0.0,0.0,0.0,0.0
